FAA	ICAO	LATITUDE	LONGITITUDE	NAME	CITY	COUNTRY
GKA	AYGA	-6.081689	145.391881	Goroka	Goroka	Papua New Guinea
MAG	AYMD	-5.207083	145.7887	Madang	Madang	Papua New Guinea
HGU	AYMH	-5.826789	144.295861	Mount Hagen	Mount Hagen	Papua New Guinea
LAE	AYNZ	-6.569828	146.726242	Nadzab	Nadzab	Papua New Guinea
POM	AYPY	-9.443383	147.22005	Port Moresby Jacksons Intl	Port Moresby	Papua New Guinea
WWK	AYWK	-3.583828	143.669186	Wewak Intl	Wewak	Papua New Guinea
UAK	BGBW	61.160517	-45.425978	Narsarsuaq	Narssarssuaq	Greenland
GOH	BGGH	64.190922	-51.678064	Nuuk	Godthaab	Greenland
SFJ	BGSF	67.016969	-50.689325	Sondre Stromfjord	Sondrestrom	Greenland
THU	BGTL	76.531203	-68.703161	Thule Air Base	Thule	Greenland
AEY	BIAR	65.659994	-18.072703	Akureyri	Akureyri	Iceland
EGS	BIEG	65.283333	-14.401389	Egilsstadir	Egilsstadir	Iceland
HFN	BIHN	64.295556	-15.227222	Hornafjordur	Hofn	Iceland
HZK	BIHU	65.952328	-17.425978	Husavik	Husavik	Iceland
IFJ	BIIS	66.058056	-23.135278	Isafjordur	Isafjordur	Iceland
KEF	BIKF	63.985	-22.605556	Keflavik International Airport	Keflavik	Iceland
PFJ	BIPA	65.555833	-23.965	Patreksfjordur	Patreksfjordur	Iceland
RKV	BIRK	64.13	-21.940556	Reykjavik	Reykjavik	Iceland
SIJ	BISI	66.133333	-18.916667	Siglufjordur	Siglufjordur	Iceland
VEY	BIVM	63.424303	-20.278875	Vestmannaeyjar	Vestmannaeyjar	Iceland
YAM	CYAM	46.485001	-84.509445	Sault Ste Marie	Sault Sainte Marie	Canada
YAV	CYAV	50.056389	-97.0325	Winnipeg St Andrews	Winnipeg	Canada
YAW	CYAW	44.639721	-63.499444	Shearwater	Halifax	Canada
YAY	CYAY	51.391944	-56.083056	St Anthony	St. Anthony	Canada
YAZ	CYAZ	49.082222	-125.7725	Tofino	Tofino	Canada
YBB	CYBB	68.534444	-89.808056	Kugaaruk	Pelly Bay	Canada
YBC	CYBC	49.1325	-68.204444	Baie Comeau	Baie Comeau	Canada
YBG	CYBG	48.330555	-70.996391	Bagotville	Bagotville	Canada
YBK	CYBK	64.298889	-96.077778	Baker Lake	Baker Lake	Canada
YBL	CYBL	49.950832	-125.270833	Campbell River	Campbell River	Canada
YBR	CYBR	49.91	-99.951944	Brandon Muni	Brandon	Canada
YCB	CYCB	69.108055	-105.138333	Cambridge Bay	Cambridge Bay	Canada
YCD	CYCD	49.052333	-123.870167	Nanaimo	Nanaimo	Canada
YCG	CYCG	49.296389	-117.6325	Castlegar	Castlegar	Canada
YCH	CYCH	47.007778	-65.449167	Miramichi	Chatham	Canada
YCL	CYCL	47.990833	-66.330278	Charlo	Charlo	Canada
YCO	CYCO	67.816667	-115.143889	Kugluktuk	Coppermine	Canada
YCT	CYCT	52.075001	-111.445278	Coronation	Coronation	Canada
YCW	CYCW	49.152779	-121.93889	Chilliwack	Chilliwack	Canada
YCY	CYCY	70.486111	-68.516667	Clyde River	Clyde River	Canada
YZS	CYCZ	64.193333	-83.359444	Fairmont Hot Springs	Coral Harbour	Canada
YDA	CYDA	64.043056	-139.127778	Dawson City	Dawson	Canada
YDB	CYDB	61.371111	-139.040556	Burwash	Burwash	Canada
YDC	CYDC	49.468056	-120.511389	Princeton	Princeton	Canada
YDF	CYDF	49.210833	-57.391388	Deer Lake	Deer Lake	Canada
YDL	CYDL	58.422222	-130.032222	Dease Lake	Dease Lake	Canada
YDN	CYDN	51.100834	-100.0525	Dauphin Barker	Dauphin	Canada
YDQ	CYDQ	55.742333	-120.183	Dawson Creek	Dawson Creek	Canada
YEG	CYEG	53.309723	-113.579722	Edmonton Intl	Edmonton	Canada
YEK	CYEK	61.094166	-94.070833	Arviat	Eskimo Point	Canada
YEN	CYEN	49.210278	-102.965833	Estevan	Estevan	Canada
YET	CYET	53.578888	-116.465	Edson	Edson	Canada
YEU	CYEU	79.994722	-85.814167	Eureka	Eureka	Canada
YEV	CYEV	68.304167	-133.482778	Inuvik Mike Zubko	Inuvik	Canada
YFB	CYFB	63.75639	-68.555832	Iqaluit	Iqaluit	Canada
YFC	CYFC	45.868889	-66.537222	Fredericton	Fredericton	Canada
	CYFE	48.746111	-69.097222	Forestville	Forestville	Canada
YFO	CYFO	54.678055	-101.681667	Flin Flon	Flin Flon	Canada
YFR	CYFR	61.180832	-113.689722	Fort Resolution	Fort Resolution	Canada
YFS	CYFS	61.760153	-121.236525	Fort Simpson	Fort Simpson	Canada
YGK	CYGK	44.225277	-76.596944	Kingston	Kingston	Canada
YGL	CYGL	53.625278	-77.704167	La Grande Riviere	La Grande Riviere	Canada
YGP	CYGP	48.775278	-64.478611	Gaspe	Gaspe	Canada
YGQ	CYGQ	49.778332	-86.939445	Geraldton Greenstone Regional	Geraldton	Canada
YGR	CYGR	47.424721	-61.778056	Iles De La Madeleine	Iles De La Madeleine	Canada
YHB	CYHB	52.816666	-102.31139	Hudson Bay	Hudson Bay	Canada
YHD	CYHD	49.831667	-92.744167	Dryden Rgnl	Dryden	Canada
YHI	CYHI	70.762778	-117.806111	Ulukhaktok Holman	Holman Island	Canada
YHK	CYHK	68.635556	-95.849722	Gjoa Haven	Gjoa Haven	Canada
YHM	CYHM	43.173611	-79.935	Hamilton	Hamilton	Canada
YHU	CYHU	45.5175	-73.416944	St Hubert	Montreal	Canada
YHY	CYHY	60.839722	-115.782778	Hay River	Hay River	Canada
YHZ	CYHZ	44.880833	-63.50861	Halifax Intl	Halifax	Canada
YIB	CYIB	48.773888	-91.638611	Atikokan Muni	Atikokan	Canada
YIO	CYIO	72.683334	-77.966667	Pond Inlet	Pond Inlet	Canada
YJN	CYJN	45.294445	-73.281111	St Jean	St. Jean	Canada
YJT	CYJT	48.544167	-58.549999	Stephenville	Stephenville	Canada
YKA	CYKA	50.702222	-120.444444	Kamloops	Kamloops	Canada
YKF	CYKF	43.460833	-80.378611	Waterloo	Waterloo	Canada
YKL	CYKL	54.805278	-66.805278	Schefferville	Schefferville	Canada
YKY	CYKY	51.5175	-109.180833	Kindersley	Kindersley	Canada
YKZ	CYKZ	43.862221	-79.37	Buttonville Muni	Toronto	Canada
YLD	CYLD	47.82	-83.346667	Chapleau	Chapleau	Canada
YLJ	CYLJ	54.125278	-108.522778	Meadow Lake	Meadow Lake	Canada
YLL	CYLL	53.309166	-110.0725	Lloydminster	Lloydminster	Canada
YLT	CYLT	82.517778	-62.280556	Alert	Alert	Canada
YLW	CYLW	49.956112	-119.377778	Kelowna	Kelowna	Canada
YMA	CYMA	63.616389	-135.868333	Mayo	Mayo	Canada
YMJ	CYMJ	50.330278	-105.559167	Moose Jaw Air Vice Marshal C M Mcewen	Moose Jaw	Canada
YMM	CYMM	56.653333	-111.221944	Fort Mcmurray	Fort Mcmurray	Canada
YMO	CYMO	51.291111	-80.607778	Moosonee	Moosonee	Canada
YMW	CYMW	46.272778	-75.990556	Maniwaki	Maniwaki	Canada
YMX	CYMX	45.681944	-74.005278	Montreal Intl Mirabel	Montreal	Canada
YNA	CYNA	50.19	-61.789167	Natashquan	Natashquan	Canada
YND	CYND	45.521694	-75.563589	Gatineau	Gatineau	Canada
YNM	CYNM	49.761667	-77.802778	Matagami	Matagami	Canada
YOC	CYOC	67.570556	-139.839167	Old Crow	Old Crow	Canada
YOD	CYOD	54.404999	-110.279444	Cold Lake	Cold Lake	Canada
YOJ	CYOJ	58.621389	-117.164722	High Level	High Level	Canada
YOW	CYOW	45.3225	-75.669167	Ottawa Macdonald Cartier Intl	Ottawa	Canada
YPA	CYPA	53.214167	-105.672778	Prince Albert Glass Field	Prince Albert	Canada
YPE	CYPE	56.226944	-117.447222	Peace River	Peace River	Canada
YPG	CYPG	49.903056	-98.273889	Southport	Portage-la-prairie	Canada
	CYPK	49.21611	-122.71	Pitt Meadows	Pitt Meadows	Canada
YPL	CYPL	51.446388	-90.214167	Pickle Lake	Pickle Lake	Canada
YPN	CYPN	49.836389	-64.288611	Port Menier	Port Menier	Canada
YPQ	CYPQ	44.23	-78.363333	Peterborough	Peterborough	Canada
YPR	CYPR	54.28611	-130.444722	Prince Rupert	Prince Pupert	Canada
YPY	CYPY	58.767223	-111.117222	Fort Chipewyan	Fort Chipewyan	Canada
YQA	CYQA	44.974722	-79.303333	Muskoka	Muskoka	Canada
YQB	CYQB	46.791111	-71.393333	Quebec Jean Lesage Intl	Quebec	Canada
YQF	CYQF	52.182222	-113.894444	Red Deer Regional	Red Deer Industrial	Canada
YQG	CYQG	42.275556	-82.955556	Windsor	Windsor	Canada
YQH	CYQH	60.116389	-128.8225	Watson Lake	Watson Lake	Canada
YQK	CYQK	49.788334	-94.363056	Kenora	Kenora	Canada
YQL	CYQL	49.630278	-112.799722	Lethbridge	Lethbridge	Canada
YQM	CYQM	46.112221	-64.678611	Greater Moncton Intl	Moncton	Canada
YQQ	CYQQ	49.710833	-124.886667	Comox	Comox	Canada
YQR	CYQR	50.431944	-104.665833	Regina Intl	Regina	Canada
YQT	CYQT	48.371944	-89.323889	Thunder Bay	Thunder Bay	Canada
YQU	CYQU	55.179722	-118.885	Grande Prairie	Grande Prairie	Canada
YQV	CYQV	51.264721	-102.461667	Yorkton Muni	Yorkton	Canada
YQW	CYQW	52.769167	-108.24361	North Battleford	North Battleford	Canada
YQX	CYQX	48.936944	-54.568056	Gander Intl	Gander	Canada
YQY	CYQY	46.161388	-60.047779	Sydney	Sydney	Canada
YQZ	CYQZ	53.026112	-122.510278	Quesnel	Quesnel	Canada
YRB	CYRB	74.716944	-94.969444	Resolute Bay	Resolute	Canada
YRI	CYRI	47.764444	-69.584722	Riviere Du Loup	Riviere Du Loup	Canada
YRJ	CYRJ	48.52	-72.265556	Roberval	Roberval	Canada
YRM	CYRM	52.429722	-114.904167	Rocky Mountain House	Rocky Mountain House	Canada
YRT	CYRT	62.81139	-92.115833	Rankin Inlet	Rankin Inlet	Canada
YSB	CYSB	46.625	-80.798889	Sudbury	Sudbury	Canada
YSC	CYSC	45.438611	-71.691389	Sherbrooke	Sherbrooke	Canada
YSJ	CYSJ	45.316111	-65.890278	Saint John	St. John	Canada
YSM	CYSM	60.020278	-111.961944	Fort Smith	Fort Smith	Canada
YSR	CYSR	72.982222	-84.613611	Nanisivik	Nanisivik	Canada
YSU	CYSU	46.440556	-63.833611	Summerside	Summerside	Canada
YSY	CYSY	71.993889	-125.2425	Sachs Harbour	Sachs Harbour	Canada
YTE	CYTE	64.23	-76.526667	Cape Dorset	Cape Dorset	Canada
YTH	CYTH	55.801111	-97.864166	Thompson	Thompson	Canada
YTR	CYTR	44.118889	-77.528056	Trenton	Trenton	Canada
YTS	CYTS	48.569721	-81.376667	Timmins	Timmins	Canada
YTZ	CYTZ	43.627499	-79.396167	City Centre	Toronto	Canada
YUB	CYUB	69.433334	-133.026389	Tuktoyaktuk	Tuktoyaktuk	Canada
YUL	CYUL	45.470556	-73.740833	Pierre Elliott Trudeau Intl	Montreal	Canada
YUT	CYUT	66.521389	-86.224722	Repulse Bay	Repulse Bay	Canada
YUX	CYUX	68.776111	-81.243611	Hall Beach	Hall Beach	Canada
YUY	CYUY	48.206111	-78.835556	Rouyn Noranda	Rouyn	Canada
YVC	CYVC	55.15139	-105.261944	La Ronge	La Ronge	Canada
YVG	CYVG	53.355833	-110.82389	Vermilion	Vermillion	Canada
YVM	CYVM	67.545833	-64.031389	Qikiqtarjuaq	Broughton Island	Canada
YVO	CYVO	48.053333	-77.782778	Val D Or	Val D'or	Canada
YVP	CYVP	58.096111	-68.426944	Kuujjuaq	Quujjuaq	Canada
YVQ	CYVQ	65.281617	-126.798219	Norman Wells	Norman Wells	Canada
YVR	CYVR	49.193889	-123.184444	Vancouver Intl	Vancouver	Canada
YVT	CYVT	55.841944	-108.4175	Buffalo Narrows	Buffalo Narrows	Canada
YVV	CYVV	44.745834	-81.107222	Wiarton	Wiarton	Canada
YWA	CYWA	45.952221	-77.319168	Petawawa	Petawawa	Canada
YWG	CYWG	49.910036	-97.239886	Winnipeg Intl	Winnipeg	Canada
YWK	CYWK	52.921944	-66.864444	Wabush	Wabush	Canada
YWL	CYWL	52.183056	-122.054167	Williams Lake	Williams Lake	Canada
YWY	CYWY	63.209444	-123.436667	Wrigley	Wrigley	Canada
YXC	CYXC	49.612222	-115.781944	Canadian Rockies Intl	Cranbrook	Canada
YXD	CYXD	53.5725	-113.520556	Edmonton City Centre	Edmonton	Canada
YXE	CYXE	52.170834	-106.699722	Saskatoon J G Diefenbaker Intl	Saskatoon	Canada
YXH	CYXH	50.01889	-110.720833	Medicine Hat	Medicine Hat	Canada
YXJ	CYXJ	56.238056	-120.740278	Fort St John	Fort Saint John	Canada
YXL	CYXL	50.113889	-91.905278	Sioux Lookout	Sioux Lookout	Canada
YXP	CYXP	66.145	-65.713611	Pangnirtung	Pangnirtung	Canada
YXR	CYXR	47.695	-79.848889	Timiskaming Rgnl	Earlton	Canada
YXS	CYXS	53.889444	-122.678889	Prince George	Prince George	Canada
YXT	CYXT	54.468508	-128.576219	Terrace	Terrace	Canada
YXU	CYXU	43.033056	-81.151111	London	London	Canada
YXX	CYXX	49.025278	-122.360556	Abbotsford	Abbotsford	Canada
YXY	CYXY	60.709553	-135.067269	Whitehorse Intl	Whitehorse	Canada
YYB	CYYB	46.363611	-79.422778	North Bay	North Bay	Canada
YYC	CYYC	51.113888	-114.020278	Calgary Intl	Calgary	Canada
YYD	CYYD	54.824722	-127.182778	Smithers	Smithers	Canada
YYE	CYYE	58.836389	-122.596944	Fort Nelson	Fort Nelson	Canada
YYF	CYYF	49.463056	-119.602222	Penticton	Penticton	Canada
YYG	CYYG	46.290001	-63.121111	Charlottetown	Charlottetown	Canada
YYH	CYYH	69.546667	-93.576667	Taloyoak	Spence Bay	Canada
YYJ	CYYJ	48.646944	-123.425833	Victoria Intl	Victoria	Canada
YYL	CYYL	56.863888	-101.07611	Lynn Lake	Lynn Lake	Canada
YYN	CYYN	50.291944	-107.690556	Swift Current	Swift Current	Canada
YYQ	CYYQ	58.739167	-94.065	Churchill	Churchill	Canada
YYR	CYYR	53.319168	-60.425833	Goose Bay	Goose Bay	Canada
YYT	CYYT	47.61861	-52.751945	St Johns Intl	St. John's	Canada
YYU	CYYU	49.413889	-82.4675	Kapuskasing	Kapuskasing	Canada
YYW	CYYW	50.290279	-88.909721	Armstrong	Armstrong	Canada
YYY	CYYY	48.608612	-68.208056	Mont Joli	Mont Joli	Canada
YYZ	CYYZ	43.677223	-79.630556	Lester B Pearson Intl	Toronto	Canada
YZD	CYZD	43.7425	-79.465556	Downsview	Toronto	Canada
YZE	CYZE	45.885277	-82.567778	Gore Bay Manitoulin	Gore Bay	Canada
YZF	CYZF	62.462778	-114.440278	Yellowknife	Yellowknife	Canada
YZH	CYZH	55.293056	-114.777222	Slave Lake	Slave Lake	Canada
YZP	CYZP	53.254333	-131.813833	Sandspit	Sandspit	Canada
YZR	CYZR	42.999444	-82.308889	Chris Hadfield	Sarnia	Canada
YZT	CYZT	50.680556	-127.366667	Port Hardy	Port Hardy	Canada
YZU	CYZU	54.14389	-115.786667	Whitecourt	Whitecourt	Canada
YZV	CYZV	50.223333	-66.265556	Sept Iles	Sept-iles	Canada
YZW	CYZW	60.172779	-132.742778	Teslin	Teslin	Canada
YZX	CYZX	44.984444	-64.916944	Greenwood	Greenwood	Canada
ZFA	CZFA	62.2075	-133.375833	Faro	Faro	Canada
ZFM	CZFM	67.4075	-134.860556	Fort Mcpherson	Fort Mcpherson	Canada
	DAAB	36.503613	2.814167	Blida	Blida	Algeria
	DAAD	35.3325	4.206389	Bou Saada	Bou Saada	Algeria
BJA	DAAE	36.711997	5.069922	Soummam	Bejaja	Algeria
ALG	DAAG	36.691014	3.215408	Houari Boumediene	Algier	Algeria
DJG	DAAJ	24.292767	9.452444	Tiska	Djanet	Algeria
QFD	DAAK	36.545834	2.876111	Boufarik	Boufarik	Algeria
	DAAN	26.710103	0.285647	Reggane	Reggan	Algeria
VVZ	DAAP	26.723536	8.622653	Illizi Takhamalt	Illizi	Algeria
	DAAQ	35.525414	2.878714	Ain Oussera	Ain Oussera	Algeria
TMR	DAAT	22.811461	5.451075	Tamanrasset	Tamanrasset	Algeria
GJL	DAAV	36.795136	5.873608	Jijel	Jijel	Algeria
	DAAY	33.535853	-0.242353	Mecheria	Mecheria	Algeria
	DAAZ	35.752239	0.626272	Relizane	Relizane	Algeria
AAE	DABB	36.822225	7.809167	Annaba	Annaba	Algeria
CZL	DABC	36.276028	6.620386	Mohamed Boudiaf Intl	Constantine	Algeria
TEE	DABS	35.431611	8.120717	Cheikh Larbi Tebessi	Tebessa	Algeria
HRM	DAFH	32.930431	3.311542	Hassi R Mel	Tilrempt	Algeria
TID	DAOB	35.341136	1.463147	Bou Chekif	Tiaret	Algeria
	DAOE	35.735389	-0.805389	Bou Sfer	Bou Sfer	Algeria
TIN	DAOF	27.700372	-8.167103	Tindouf	Tindouf	Algeria
QAS	DAOI	36.212658	1.331775	Ech Cheliff	Ech-cheliff	Algeria
TAF	DAOL	35.542444	-0.532278	Tafaraoui	Oran	Algeria
TLM	DAON	35.016667	-1.45	Zenata	Tlemcen	Algeria
ORN	DAOO	35.623858	-0.621183	Es Senia	Oran	Algeria
	DAOS	35.171775	-0.593275	Sidi Bel Abbes	Sidi Bel Abbes	Algeria
MUW	DAOV	35.207725	0.147142	Ghriss	Ghriss	Algeria
AZR	DAUA	27.837589	-0.186414	Touat Cheikh Sidi Mohamed Belkebir	Adrar	Algeria
BSK	DAUB	34.793289	5.738231	Biskra	Biskra	Algeria
ELG	DAUE	30.571294	2.859586	El Golea	El Golea	Algeria
GHA	DAUG	32.384106	3.794114	Noumerat	Ghardaia	Algeria
HME	DAUH	31.672972	6.140444	Oued Irara	Hassi Messaoud	Algeria
INZ	DAUI	27.251022	2.512017	In Salah	In Salah	Algeria
TGR	DAUK	33.067803	6.088672	Sidi Mahdi	Touggourt	Algeria
LOO	DAUL	33.764383	2.928344	Laghouat	Laghouat	Algeria
TMX	DAUT	29.237119	0.276033	Timimoun	Timimoun	Algeria
OGX	DAUU	31.917223	5.412778	Ouargla	Ouargla	Algeria
IAM	DAUZ	28.05155	9.642911	In Amenas	Zarzaitine	Algeria
COO	DBBB	6.357228	2.384353	Cadjehoun	Cotonou	Benin
OUA	DFFD	12.353194	-1.512417	Ouagadougou	Ouagadougou	Burkina Faso
BOY	DFOO	11.160056	-4.330969	Bobo Dioulasso	Bobo-dioulasso	Burkina Faso
ACC	DGAA	5.605186	-0.166786	Kotoka Intl	Accra	Ghana
TML	DGLE	9.557192	-0.863214	Tamale	Tamale	Ghana
	DGLW	10.082664	-2.507694	Wa	Wa	Ghana
NYI	DGSN	7.361828	-2.328756	Sunyani	Sunyani	Ghana
TKD	DGTK	4.896056	-1.774756	Takoradi	Takoradi	Ghana
ABJ	DIAP	5.261386	-3.926294	Abidjan Felix Houphouet Boigny Intl	Abidjan	Cote d'Ivoire
BYK	DIBK	7.7388	-5.073667	Bouake	Bouake	Cote d'Ivoire
DJO	DIDL	6.792808	-6.473189	Daloa	Daloa	Cote d'Ivoire
HGO	DIKO	9.387183	-5.556664	Korhogo	Korhogo	Cote d'Ivoire
MJC	DIMN	7.272069	-7.587364	Man	Man	Cote d'Ivoire
SPY	DISP	4.746717	-6.660817	San Pedro	San Pedro	Cote d'Ivoire
ASK	DIYO	6.903167	-5.365581	Yamoussoukro	Yamoussoukro	Cote d'Ivoire
ABV	DNAA	9.006792	7.263172	Nnamdi Azikiwe Intl	Abuja	Nigeria
AKR	DNAK	7.246739	5.301008	Akure	Akure	Nigeria
BNI	DNBE	6.316981	5.599503	Benin	Benin	Nigeria
CBQ	DNCA	4.976019	8.347197	Calabar	Calabar	Nigeria
ENU	DNEN	6.474272	7.561961	Enugu	Enugu	Nigeria
QUS	DNGU	12.171667	6.696111	Gusau	Gusau	Nigeria
IBA	DNIB	7.362458	3.978333	Ibadan	Ibadan	Nigeria
ILR	DNIL	8.440211	4.493919	Ilorin	Ilorin	Nigeria
JOS	DNJO	9.639828	8.86905	Yakubu Gowon	Jos	Nigeria
KAD	DNKA	10.696025	7.320114	Kaduna	Kaduna	Nigeria
KAN	DNKN	12.047589	8.524622	Mallam Aminu Intl	Kano	Nigeria
MIU	DNMA	11.855347	13.08095	Maiduguri	Maiduguri	Nigeria
MDI	DNMK	7.703883	8.613939	Makurdi	Makurdi	Nigeria
LOS	DNMM	6.577369	3.321156	Murtala Muhammed	Lagos	Nigeria
MXJ	DNMN	9.652172	6.462256	Minna New	Minna	Nigeria
PHC	DNPO	5.015494	6.949594	Port Harcourt Intl	Port Hartcourt	Nigeria
SKO	DNSO	12.916322	5.207189	Sadiq Abubakar Iii Intl	Sokoto	Nigeria
YOL	DNYO	9.257553	12.430422	Yola	Yola	Nigeria
ZAR	DNZA	11.130192	7.685806	Zaria	Zaria	Nigeria
MFQ	DRRM	13.502531	7.126753	Maradi	Maradi	Niger
NIM	DRRN	13.481547	2.183614	Diori Hamani	Niamey	Niger
THZ	DRRT	14.875658	5.265358	Tahoua	Tahoua	Niger
AJY	DRZA	16.965997	8.000114	Manu Dayak	Agadez	Niger
	DRZD	18.968703	12.86865	Dirkou	Dirkou	Niger
	DRZF	13.372894	12.626686	Diffa	Diffa	Niger
ZND	DRZR	13.778997	8.983761	Zinder	Zinder	Niger
MIR	DTMB	35.758056	10.754722	Habib Bourguiba Intl	Monastir	Tunisia
TUN	DTTA	36.851033	10.227217	Carthage	Tunis	Tunisia
	DTTB	37.245447	9.791453	Sidi Ahmed Air Base	Bizerte	Tunisia
	DTTD	32.306156	10.382108	Remada	Remada	Tunisia
GAF	DTTF	34.422022	8.822503	Gafsa	Gafsa	Tunisia
GAE	DTTG	33.876919	10.103333	Gabes	Gabes	Tunisia
	DTTI	36.721339	9.943147	Borj El Amri	Bordj El Amri	Tunisia
DJE	DTTJ	33.875031	10.775461	Zarzis	Djerba	Tunisia
EBM	DTTR	31.704281	9.254619	El Borma	El Borma	Tunisia
SFA	DTTX	34.717953	10.690972	Thyna	Sfax	Tunisia
TOE	DTTZ	33.939722	8.110556	Nefta	Tozeur	Tunisia
LRL	DXNG	9.767333	1.09125	Niamtougou International	Niatougou	Togo
LFW	DXXX	6.165611	1.254511	Gnassingbe Eyadema Intl	Lome	Togo
ANR	EBAW	51.189444	4.460278	Deurne	Antwerp	Belgium
	EBBE	50.75861	4.768333	Beauvechain	Beauvechain	Belgium
	EBBL	51.168333	5.47	Kleine Brogel	Kleine Brogel	Belgium
BRU	EBBR	50.901389	4.484444	Brussels Natl	Brussels	Belgium
	EBBX	49.891667	5.223889	Bertrix	Bertrix	Belgium
CRL	EBCI	50.459197	4.453817	Brussels South	Charleroi	Belgium
	EBCV	50.575833	3.831	Chievres Ab	Chievres	Belgium
	EBFN	51.090278	2.652778	Koksijde	Koksijde	Belgium
	EBFS	50.243333	4.645833	Florennes	Florennes	Belgium
QKT	EBKT	50.817222	3.204722	Wevelgem	Kortrijk-vevelgem	Belgium
LGG	EBLG	50.637417	5.443222	Liege	Liege	Belgium
OST	EBOS	51.198889	2.862222	Oostende	Ostend	Belgium
	EBSL	50.9475	5.590556	Zutendaal	Zutendaal	Belgium
	EBST	50.791944	5.201667	Sint Truiden	Sint-truiden	Belgium
	EBSU	50.035833	5.404167	Saint Hubert Mil	St.-hubert	Belgium
	EBUL	51.144133	3.474361	Ursel	Ursel	Belgium
	EBWE	51.394783	4.960194	Weelde	Weelde	Belgium
	EBZR	51.264722	4.753333	Zoersel	Zoersel	Belgium
BBJ	EDAB	51.193531	14.519747	Bautzen	Bautzen	Germany
AOC	EDAC	50.981817	12.506361	Altenburg Nobitz	Altenburg	Germany
	EDAD	51.831828	12.184033	Dessau	Dessau	Germany
	EDAE	52.197333	14.585667	Eisenhuttenstadt	Eisenhuettenstadt	Germany
4I7	\N	39.6335556	-86.8138056	Putnam County Airport	Greencastle	United States
	EDAK	51.308111	13.554973	Grossenhain	Suhl	Germany
	EDAM	51.363	11.940833	Merseburg	Muehlhausen	Germany
	EDAQ	51.552	12.052667	Halle Oppin	Halle	Germany
	EDAU	51.2935	13.356	Riesa Gohlis	Riesa	Germany
	EDAX	53.306417	12.753139	Rechlin Larz	Rechlin-laerz	Germany
	EDAY	52.579978	13.915683	Strausberg	Strausberg	Germany
	EDAZ	52.203258	13.158408	Schonhagen	Schoenhagen	Germany
BBH	EDBH	54.33754	12.699705	Barth	Barth	Germany
	EDBJ	50.915161	11.714519	Jena Schongleina	Jena	Germany
	EDBK	52.918833	12.425333	Kyritz	Kyritz	Germany
	EDBM	52.073658	11.626467	Magdeburg	Magdeburg	Germany
	EDBR	51.363167	14.95	Rothenburg Gorlitz	Rothenburg/ol	Germany
	EDCA	53.8327	13.669131	Anklam	Anklam	Germany
	EDCD	51.889475	14.531986	Cottbus Drewitz	Cottbus	Germany
	EDCM	51.29625	14.129	Kamenz	Kamenz	Germany
SXF	EDDB	52.380001	13.5225	Schonefeld	Berlin	Germany
DRS	EDDC	51.132767	13.767161	Dresden	Dresden	Germany
ERF	EDDE	50.979811	10.958106	Erfurt	Erfurt	Germany
FRA	EDDF	50.026421	8.543125	Frankfurt Main	Frankfurt	Germany
FMO	EDDG	52.134642	7.684831	Munster Osnabruck	Munster	Germany
HAM	EDDH	53.630389	9.988228	Hamburg	Hamburg	Germany
THF	EDDI	52.473025	13.403944	Tempelhof	Berlin	Germany
CGN	EDDK	50.865917	7.142744	Koln Bonn	Cologne	Germany
DUS	EDDL	51.289453	6.766775	Dusseldorf	Duesseldorf	Germany
MUC	EDDM	48.353783	11.786086	Franz Josef Strauss	Munich	Germany
NUE	EDDN	49.4987	11.066897	Nurnberg	Nuernberg	Germany
LEJ	EDDP	51.432447	12.241633	Leipzig Halle	Leipzig	Germany
SCN	EDDR	49.214553	7.109508	Saarbrucken	Saarbruecken	Germany
STR	EDDS	48.689878	9.221964	Stuttgart	Stuttgart	Germany
TXL	EDDT	52.559686	13.287711	Tegel	Berlin	Germany
HAJ	EDDV	52.461056	9.685078	Hannover	Hannover	Germany
BRE	EDDW	53.0475	8.786667	Neuenland	Bremen	Germany
	EDFE	49.960833	8.6415	Egelsbach	Egelsbach	Germany
HHN	EDFH	49.948672	7.263892	Frankfurt Hahn	Hahn	Germany
MHG	EDFM	49.472706	8.514264	Mannheim City	Mannheim	Germany
	EDFQ	51.034878	8.680839	Allendorf Eder	Allendorf	Germany
	EDFV	49.606511	8.3684	Worms	Worms	Germany
	EDFZ	49.968931	8.148336	Mainz Finthen	Mainz	Germany
	EDGE	50.992797	10.472711	Eisenach Kindel	Eisenach	Germany
	EDGS	50.707658	8.082969	Siegerland	Siegerland	Germany
XFW	EDHI	53.535886	9.837025	Hamburg Finkenwerder	Hamburg	Germany
KEL	EDHK	54.3795	10.145167	Kiel Holtenau	Kiel	Germany
LBC	EDHL	53.805367	10.719222	Lubeck Blankensee	Luebeck	Germany
	EDKV	50.405888	6.528083	Dahlemer Binz	Dahlemer Binz	Germany
	EDKZ	51.099445	7.601944	Meinerzhagen	Meinerzhagen	Germany
ZCA	EDLA	51.483333	7.899333	Arnsberg Menden	Arnsberg	Germany
ESS	EDLE	51.402333	6.937333	Essen Mulheim	Essen	Germany
	EDLI	51.964833	8.544833	Bielefeld	Bielefeld	Germany
MGL	EDLN	51.230356	6.504494	Monchengladbach	Moenchengladbach	Germany
PAD	EDLP	51.614089	8.616317	Paderborn Lippstadt	Paderborn	Germany
	EDLS	51.995844	6.840667	Stadtlohn Vreden	Stadtlohn	Germany
